id,sentence,current_origin,current_destination,suggested_origin,suggested_destination,final_origin,final_destination,notes
18,y a t il un train de le mans a cherbougr en passant par Valence,Le Mans,Cherbourg,Le Mans,Cherbourg,Le Mans,Cherbourg,
19,je veux aller a versailles en partant de limoges en passant par Saint-Malo,Limoges,Versailles,Limoges,Versailles,Limoges,Versailles,
20,aller de saint-nazajre vers versailles en passant par Le Mans,Saint-Nazaire,Versailles,Saint-Nazaire,Versailles,Saint-Nazaire,Versailles,
21,je souhaite me rendre a poitiers depuis toulon en passant par Saint-Jean-de-Luz,Toulon,Poitiers,Toulon,Poitiers,Toulon,Poitiers,
22,je souhaite me rendre a saint-nazaire depuis montpellier en passant par Aix-en-Provence,Montpellier,Saint-Nazaire,Montpellier,Saint-Nazaire,Montpellier,Saint-Nazaire,
23,depuis aix-en-provence je veux aller a lyon en passant par Perpginan,Aix-en-Provence,Lyon,Aix-en-Provence,Lyon,Aix-en-Provence,Lyon,
24,depuis limoges je veux aller a rouen en passant par Port-Boulet,Limoges,Rouen,Limoges,Rouen,Limoges,Rouen,
25,depart Orleans destination Paris en passant par Rouen,Orleans,Paris,Orleans,Paris,Orleans,Paris,
26,trains saint-malo angers en passant par Bayonne,Saint-Malo,Angers,Saint-Malo,Angers,Saint-Malo,Angers,
27,y a t il un train de saint denis a bordeaux en passant par Amiens,Saint-Denis,Bordeaux,Saint-Denis,Bordeaux,Saint-Denis,Bordeaux,
28,est ce quil y a des trains vers paris depuis versailles en passant par Angers,Versailles,Paris,Versailles,Paris,Versailles,Paris,
29,billet metz caen en passant par Saint-Malo,Metz,Caen,Metz,Caen,Metz,Caen,
30,est ce quil y a des trains vers perpignan depuis lyon en passant par Tours,Lyon,Perpignan,Lyon,Perpignan,Lyon,Perpignan,
31,aller de Saint-Nazaire vers Saint-Malo en passant par Aix-en-Provence,Saint-Nazaire,Saint-Malo,Saint-Nazaire,Saint-Malo,Saint-Nazaire,Saint-Malo,
32,je veux un billet de Nancy pour Montaigu en passant par Versailles,Nancy,Montaigu,Nancy,Montaigu,Nancy,Montaigu,
33,depuis brest je veux aller a marseille en passant par Perpignan,Brest,Marseille,Brest,Marseille,Brest,Marseille,
34,depart versailles destination dijon en passant par Bayonne,Versailles,Dijon,Versailles,Dijon,Versailles,Dijon,
76,train en retard,INVALID,,INVALID,,INVALID,,
103,horaires pour demain,INVALID,,INVALID,,INVALID,,
118,horaires pour demain,INVALID,,INVALID,,INVALID,,
119,horaires pour demain,INVALID,,INVALID,,INVALID,,
120,une phrase sans trajet,INVALID,,INVALID,,INVALID,,
